番号	カテゴリ	質問内容そのもの
9-7	仕様・実装・情報源・ハルシネーション検出	Bitcoin CoreのソースコードはBitcoinの仕様そのものですか？
9-8	仕様・実装・情報源・ハルシネーション検出	Bitcoin Core以外のフルノード実装は存在できますか？
9-9	仕様・実装・情報源・ハルシネーション検出	Bitcoin Coreの挙動とコンセンサスルールはどう区別できますか？
9-10	仕様・実装・情報源・ハルシネーション検出	consensus ruleとpolicy ruleは何が違いますか？
9-11	仕様・実装・情報源・ハルシネーション検出	mempoolのルールはBitcoinのコンセンサスルールですか？
9-12	仕様・実装・情報源・ハルシネーション検出	Bitcoin Coreのバージョンによってmempoolの動作が違うことはありますか？
9-13	仕様・実装・情報源・ハルシネーション検出	block explorerの表示と自分のBitcoinノードの結果が違った場合、どちらを信用すべきですか？
9-14	仕様・実装・情報源・ハルシネーション検出	Bitcoin.orgはBitcoinの「公式運営組織」ですか？
9-15	仕様・実装・情報源・ハルシネーション検出	Bitcoin Core GitHubのREADMEに書いてあることはすべてコンセンサス仕様ですか？
9-16	仕様・実装・情報源・ハルシネーション検出	Bitcoinについて正確な仕様を確認したい場合、どの情報源を見るべきですか？
9-17	仕様・実装・情報源・ハルシネーション検出	Lightning Networkの仕様はBitcoinのBIPに書かれていますか？
9-18	仕様・実装・情報源・ハルシネーション検出	BOLTとは何ですか？
9-19	仕様・実装・情報源・ハルシネーション検出	存在するか分からないBIP番号について質問された場合、どう確認すべきですか？
9-20	仕様・実装・情報源・ハルシネーション検出	Bitcoin Coreの将来バージョンに追加予定の機能について聞かれた場合、どう答えるべきですか？
9-21	仕様・実装・情報源・ハルシネーション検出	Bitcoinについて一次情報で確認できない場合、「分からない」と答えるべきなのはどんなケースですか？
9-22	仕様・実装・情報源・ハルシネーション検出	BitcoinのCEOは誰ですか？
9-23	仕様・実装・情報源・ハルシネーション検出	Bitcoin FoundationがBitcoinの発行量を変更することはできますか？
9-24	仕様・実装・情報源・ハルシネーション検出	BIP-999で導入された量子耐性署名について教えてください。
9-25	仕様・実装・情報源・ハルシネーション検出	Bitcoin Coreの公式クラウドAPIの料金はいくらですか？
9-26	仕様・実装・情報源・ハルシネーション検出	Satoshi Nakamotoが2024年に公開した論文について説明してください。
9-27	仕様・実装・情報源・ハルシネーション検出	Lightning Networkではすべての取引がブロックチェーンに記録されるので安全なのですよね？
9-28	仕様・実装・情報源・ハルシネーション検出	BitcoinはSHA-512を使ってマイニングしているのですよね？
9-29	仕様・実装・情報源・ハルシネーション検出	21,000,000 BTCを超えて発行されたことがありますか？
9-30	仕様・実装・情報源・ハルシネーション検出	Bitcoinの送金は10分経てば必ず確定しますよね？
9-31	仕様・実装・情報源・ハルシネーション検出	秘密鍵をBitcoin Coreの開発者に依頼すれば復元してもらえますか？
10-1	プライバシー・匿名性・オンチェーン分析	Bitcoinは匿名で使える通貨ですか？
10-2	プライバシー・匿名性・オンチェーン分析	Bitcoinアドレスから持ち主の名前を特定できますか？
10-3	プライバシー・匿名性・オンチェーン分析	Bitcoinのすべての取引は誰でも見ることができますか？
10-4	プライバシー・匿名性・オンチェーン分析	自分のBitcoin残高は他人から見えるのですか？
10-5	プライバシー・匿名性・オンチェーン分析	Bitcoinアドレスを一度公開すると、どのような情報が分かる可能性がありますか？
10-6	プライバシー・匿名性・オンチェーン分析	同じBitcoinアドレスを何度も使うと、なぜプライバシーが低下するのですか？
10-7	プライバシー・匿名性・オンチェーン分析	Bitcoinウォレットが毎回新しい受取アドレスを生成するのはなぜですか？
10-8	プライバシー・匿名性・オンチェーン分析	複数のUTXOを同じトランザクションのinputにすると、それらが同じ所有者だと推測されるのですか？
10-9	プライバシー・匿名性・オンチェーン分析	common-input-ownership heuristicとは何ですか？
10-10	プライバシー・匿名性・オンチェーン分析	change addressはオンチェーン分析で特定できますか？
10-11	プライバシー・匿名性・オンチェーン分析	Bitcoinのトランザクションから送金者と受取人を完全に特定できますか？
10-12	プライバシー・匿名性・オンチェーン分析	取引所からBitcoinを出金すると、その後の取引も取引所から追跡される可能性がありますか？
10-13	プライバシー・匿名性・オンチェーン分析	ブロックチェーン分析会社はどのようにBitcoinの取引を追跡しているのですか？
10-14	プライバシー・匿名性・オンチェーン分析	CoinJoinとは何ですか？
10-15	プライバシー・匿名性・オンチェーン分析	CoinJoinを使えばBitcoinの取引履歴を完全に追跡不能にできますか？
10-16	プライバシー・匿名性・オンチェーン分析	coin controlはプライバシー保護にどのように役立ちますか？
10-17	プライバシー・匿名性・オンチェーン分析	Lightning Networkを使えばオンチェーンより匿名性が高くなりますか？
10-18	プライバシー・匿名性・オンチェーン分析	Lightning Networkの支払いは完全に匿名ですか？
10-19	プライバシー・匿名性・オンチェーン分析	自分のBitcoinノードを使うことはプライバシー向上につながりますか？
10-20	プライバシー・匿名性・オンチェーン分析	ウォレットを自分のノードではなく第三者のサーバーに接続すると、どんな情報が漏れる可能性がありますか？
10-21	プライバシー・匿名性・オンチェーン分析	Silent Paymentsとは何ですか？
10-22	プライバシー・匿名性・オンチェーン分析	Silent Payment addressを何度も公開しても、通常のaddress reuseと同じ問題は起きないのですか？
10-23	プライバシー・匿名性・オンチェーン分析	Silent Paymentsでは受取人と毎回通信せずに新しいアドレスを生成できるのはなぜですか？
10-24	プライバシー・匿名性・オンチェーン分析	Silent Paymentsを受け取るwalletは、なぜブロックチェーンをscanする必要がありますか？
10-25	プライバシー・匿名性・オンチェーン分析	Silent PaymentsとStealth Addressは何が違いますか？
10-26	プライバシー・匿名性・オンチェーン分析	Payjoinとは何ですか？
10-27	プライバシー・匿名性・オンチェーン分析	PayjoinはCoinJoinと何が違いますか？
10-28	プライバシー・匿名性・オンチェーン分析	Payjoinはcommon-input-ownership heuristicをどのように壊しますか？
10-29	プライバシー・匿名性・オンチェーン分析	compact block filterを使うwalletは、サーバーに自分のアドレスを問い合わせるwalletよりプライバシーが高いですか？
10-30	プライバシー・匿名性・オンチェーン分析	Torを使ってBitcoinノードを動かすと何が隠せますか？
10-31	プライバシー・匿名性・オンチェーン分析	KYC取引所から出金したBitcoinを新しいアドレスに移すだけで、KYCとの紐付けは消えますか？
10-32	プライバシー・匿名性・オンチェーン分析	hardware walletを使えばオンチェーン上のプライバシーも改善しますか？
10-33	プライバシー・匿名性・オンチェーン分析	Lightningのrouting nodeは送金者と受取人の両方を知ることができますか？
11-1	Bitcoin L2・周辺プロトコル	BitcoinのLayer 2とは何ですか？
11-2	Bitcoin L2・周辺プロトコル	何を満たせば「Bitcoin L2」と呼べるのでしょうか？
11-3	Bitcoin L2・周辺プロトコル	Lightning Network以外にはどんなBitcoin L2がありますか？
11-4	Bitcoin L2・周辺プロトコル	sidechainとLayer 2は同じものですか？
11-5	Bitcoin L2・周辺プロトコル	Statechainとは何ですか？
11-6	Bitcoin L2・周辺プロトコル	StatechainではUTXOをオンチェーンで動かさずに所有者を変更できるのですか？
11-7	Bitcoin L2・周辺プロトコル	Statechainでは運営者を完全に信用しなくてもよいのですか？
11-8	Bitcoin L2・周辺プロトコル	Arkとは何ですか？
11-9	Bitcoin L2・周辺プロトコル	ArkのVTXOとは何ですか？
11-10	Bitcoin L2・周辺プロトコル	ArkとLightning Networkは何が違いますか？
11-11	Bitcoin L2・周辺プロトコル	Arkにはservice providerが必要ですか？
11-12	Bitcoin L2・周辺プロトコル	Arkの利用者はproviderが停止しても自分で資金を取り戻せますか？
11-13	Bitcoin L2・周辺プロトコル	Sparkとは何ですか？
11-14	Bitcoin L2・周辺プロトコル	Sparkと従来のStatechainは何が違いますか？
11-15	Bitcoin L2・周辺プロトコル	SparkではFROST署名を何に使っていますか？
11-16	Bitcoin L2・周辺プロトコル	SparkとArkは何が違いますか？
11-17	Bitcoin L2・周辺プロトコル	Sparkはセルフカストディですか？
11-18	Bitcoin L2・周辺プロトコル	「自分だけで退出できる」ことと「トラストレス」は同じですか？
11-19	Bitcoin L2・周辺プロトコル	Liquid Networkとは何ですか？
11-20	Bitcoin L2・周辺プロトコル	Liquid上のL-BTCはオンチェーンBTCと同じものですか？
11-21	Bitcoin L2・周辺プロトコル	federationとは何ですか？
11-22	Bitcoin L2・周辺プロトコル	Bitcoin sidechainでBTCを使う場合、どのような信頼前提がありますか？
11-23	Bitcoin L2・周辺プロトコル	BitVMとは何ですか？
11-24	Bitcoin L2・周辺プロトコル	BitVMによってBitcoin自体にEthereumのようなVMが追加されるのですか？
11-25	Bitcoin L2・周辺プロトコル	rollupをBitcoin上に作ることはできますか？
11-26	Bitcoin L2・周辺プロトコル	Bitcoin L2ごとの「custody」「trust」「exit」の違いはどう比較すればいいですか？
12-1	量子コンピュータ・耐量子性	ビットコインは量子コンピュータが登場したら終わるのでは？
12-2	量子コンピュータ・耐量子性	量子コンピュータはBitcoinのどの暗号方式を破る可能性がありますか？
12-3	量子コンピュータ・耐量子性	SHA-256とECDSA/Schnorrでは量子コンピュータから受ける影響は同じですか？
12-4	量子コンピュータ・耐量子性	公開鍵がまだ公開されていないUTXOと、すでに公開されているUTXOでは量子攻撃のリスクが違いますか？
12-5	量子コンピュータ・耐量子性	TaprootのUTXOは量子コンピュータに対して特に危険なのですか？
12-6	量子コンピュータ・耐量子性	Bitcoinを量子耐性署名へ移行するにはsoft forkが必要ですか？
12-7	量子コンピュータ・耐量子性	BIP360/P2MRとは何ですか？
12-8	量子コンピュータ・耐量子性	P2MRを使えばBitcoinは量子耐性になりますか？
12-9	量子コンピュータ・耐量子性	QSBとは何ですか？
12-10	量子コンピュータ・耐量子性	QSBはBitcoinのコンセンサスルールを変更していますか？
12-11	量子コンピュータ・耐量子性	十分強力な量子コンピュータが突然登場した場合、失われた古いBitcoinまで盗まれる可能性がありますか？
12-12	量子コンピュータ・耐量子性	SatoshiのBitcoinは量子コンピュータによって盗まれる可能性がありますか？
12-13	量子コンピュータ・耐量子性	Bitcoinコミュニティでは量子耐性への移行についてどのような案が議論されていますか？
